dataset,path,emotion_name,emotion_code,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mel_0,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63,mel_64,mel_65,mel_66,mel_67,mel_68,mel_69,mel_70,mel_71,mel_72,mel_73,mel_74,mel_75,mel_76,mel_77,mel_78,mel_79,mel_80,mel_81,mel_82,mel_83,mel_84,mel_85,mel_86,mel_87,mel_88,mel_89,mel_90,mel_91,mel_92,mel_93,mel_94,mel_95,mel_96,mel_97,mel_98,mel_99,mel_100,mel_101,mel_102,mel_103,mel_104,mel_105,mel_106,mel_107,mel_108,mel_109,mel_110,mel_111,mel_112,mel_113,mel_114,mel_115,mel_116,mel_117,mel_118,mel_119,mel_120,mel_121,mel_122,mel_123,mel_124,mel_125,mel_126,mel_127,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a01Fa.wav,happy,3,-232.655716,78.358467,-5.684480,23.088654,-5.620759,2.231415,-18.465944,0.188674,-8.660155,5.200696,-8.826459,1.244056,-5.281402,4.205363,-7.879645,-0.344330,-2.117595,-2.673890,-3.747563,3.454947,-5.973763,1.613280,-2.775441,0.173412,-0.511708,1.506526,1.744012,2.791431,3.651098,0.876145,1.244440,2.327929,-0.604428,3.734100,1.145657,3.809347,3.586082,2.798714,2.782395,1.144742,0.335942,0.237991,0.258221,0.335274,0.446749,0.501733,0.440976,0.440004,0.412916,0.463816,0.532112,0.431279,0.202191,0.094223,0.083505,1.153100,2.081492,5.872442,10.835951,9.202580,7.704716,9.279422,5.897656,2.634768,3.219527,5.132940,6.693347,5.503438,2.160095,1.801549,2.078188,4.684976,8.759869,8.557742,4.349452,3.004567,5.227986,8.794084,7.660043,6.602746,6.978651,4.609317,3.169138,3.071673,2.447226,1.996808,1.568428,1.990270,3.171841,3.229967,2.495579,3.319816,2.236393,2.290352,1.154357,0.728148,0.521023,0.574119,0.487179,0.890792,0.542437,0.840696,0.677264,0.889451,1.088152,1.018006,1.301576,0.736761,1.450381,1.245277,1.690603,0.990051,1.164331,0.883488,0.734552,0.592935,0.292680,0.339214,0.423783,0.375204,0.301573,0.260645,0.313371,0.101071,0.086392,0.093490,0.074044,0.056240,0.079940,0.062455,0.051788,0.082576,0.089596,0.119542,0.128644,0.145436,0.147148,0.086700,0.066601,0.057727,0.131494,0.095933,0.073841,0.054581,0.099907,0.115539,0.093133,0.076135,0.119827,0.097772,0.042424,0.064597,0.034671,0.036747,0.060186,0.049682,0.049370,0.037984,0.048941,0.033990,0.040179,0.027520,0.024308,0.022799,0.022559,0.021917,0.024183,0.018060,0.018734,0.018191,0.018377,0.015600,0.014619,0.014513,0.006945,0.006020,0.005094,0.002352,0.000704,0.000362,19.983521,15.985208,15.902702,14.828827,17.768333,16.896912,18.984812,0.003358,0.014133,-0.038445,0.008802,-0.002540,-0.004598
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a01Nc.wav,neutral,1,-217.275894,111.638153,-12.414566,33.031387,-2.805702,5.527958,-14.194548,-11.614135,-5.756049,9.488173,-3.363483,4.318163,-10.475230,8.650140,-1.569801,-4.670027,1.195736,1.127807,-7.352460,3.238104,-4.968711,-0.228710,-3.199828,-2.955632,0.352546,-2.300018,-2.012017,1.035896,-2.055612,0.749915,-3.324037,-1.364126,-2.830347,-1.963027,-1.468809,-1.079737,-0.682392,-1.925796,-0.824300,-1.035421,0.430634,0.330482,0.490824,0.497903,0.470994,0.492267,0.395147,0.352798,0.340500,0.251986,0.250176,0.457900,0.325015,0.160214,1.906750,12.964533,13.950117,26.781122,22.564444,4.967218,10.252930,6.101372,10.919770,20.951660,36.261497,19.408705,5.178202,5.450251,12.798285,15.103985,8.785846,6.722694,12.490177,31.094709,24.614641,8.355508,14.276066,19.463070,26.073523,8.267918,12.679866,22.681520,14.568091,7.412801,3.830540,1.916114,0.927778,1.307799,0.623002,0.540738,0.429403,0.318211,0.520716,0.327443,0.222209,0.634302,0.460779,0.341202,0.263331,0.345183,0.705394,0.762591,0.500083,0.515211,1.366765,2.810242,1.435529,1.487717,2.666494,3.851687,2.512235,3.724933,2.922282,2.434658,1.216947,0.939770,1.474120,0.671862,0.414859,0.170545,0.134962,0.085799,0.076333,0.071027,0.060161,0.069950,0.077196,0.114215,0.118203,0.188256,0.285626,0.288561,0.236285,0.185430,0.127343,0.124714,0.207203,0.211392,0.156370,0.105588,0.099452,0.098179,0.119727,0.084496,0.112799,0.147182,0.171518,0.175973,0.138067,0.078063,0.064001,0.037621,0.016587,0.017782,0.017631,0.020133,0.023212,0.018891,0.021150,0.036149,0.045558,0.032147,0.030626,0.018476,0.021210,0.018205,0.025787,0.029933,0.039811,0.034046,0.023521,0.017016,0.017483,0.010793,0.003141,0.001880,0.000885,0.000838,0.000284,0.000123,18.938005,13.170237,17.272509,15.608043,17.467138,19.183519,18.433113,-0.008648,0.007344,-0.054062,0.089449,-0.029977,-0.000416
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a01Wa.wav,angry,5,-178.629257,51.506119,-41.428158,18.590761,-14.320748,-0.561634,-16.098753,-11.474613,-9.895323,0.881489,-9.734903,-0.568929,-5.862844,1.370440,-8.854699,-2.441157,-6.162042,-6.923328,-4.781983,-0.792632,-6.866335,1.789973,-0.303275,1.594452,0.108917,-0.753241,1.463428,6.473218,0.154715,1.303198,0.134079,2.586298,3.310400,3.682724,2.295565,-0.075023,-0.012579,3.551005,0.059484,3.154512,0.289169,0.374600,0.331418,0.396506,0.377856,0.441248,0.462943,0.320221,0.320314,0.434470,0.468429,0.294374,0.019462,0.015957,0.013208,0.028470,0.059502,1.404577,2.833698,5.125349,7.654365,14.086650,3.270057,5.114326,5.167330,1.723606,1.372558,3.001303,2.168640,0.860596,2.918741,16.269823,9.563394,2.791556,14.637793,32.374580,23.352179,11.758952,15.244374,4.414869,1.363266,1.428977,6.618793,7.664794,3.387308,4.435764,4.729951,9.169109,7.953274,5.719023,2.814189,2.361253,3.061065,2.904901,5.164721,6.419509,4.233833,4.316814,7.051513,5.137712,2.326919,4.113227,3.041613,3.690286,8.554515,11.887270,7.989531,14.109460,14.740293,5.244423,9.014545,7.053170,3.693267,2.204825,2.723026,2.760409,2.525230,3.089190,3.191219,2.465408,3.602329,1.069160,0.453680,0.648249,0.742188,0.782497,0.394168,0.606579,1.653731,1.166920,0.937263,0.572763,0.584728,0.910096,1.517522,2.004389,1.325669,1.533714,1.077335,0.784061,0.392450,0.465660,0.533350,0.660793,0.584277,0.414498,0.486571,0.366969,0.368438,0.434823,0.258482,0.200801,0.130224,0.262161,0.357963,0.383620,0.196024,0.153225,0.139997,0.084982,0.116014,0.079185,0.079552,0.086386,0.055360,0.062655,0.084450,0.091211,0.074255,0.066199,0.067210,0.047677,0.041658,0.063234,0.059749,0.037151,0.019520,0.010315,0.007494,0.003901,18.975458,16.634981,19.053827,16.712122,17.754587,19.669462,17.341875,-0.013369,0.007702,-0.000081,-0.096224,0.013084,-0.002732
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Fc.wav,happy,3,-210.084122,54.724590,-7.347514,10.087590,-3.436077,-1.858769,-14.699743,-9.550004,-16.177086,-4.204820,-9.786841,-5.094439,-11.831728,2.002095,-11.450294,-2.343947,0.211268,-3.289711,1.098144,11.849049,1.804085,10.773287,3.032213,1.494259,-1.349211,5.132463,2.282734,9.804245,3.940244,4.258806,0.870254,1.566974,2.292184,3.129890,1.996738,0.305314,-0.157050,3.427973,1.873118,-0.783701,0.161848,0.286201,0.380893,0.331260,0.404339,0.372842,0.383239,0.180182,0.187174,0.279904,0.234283,0.165338,0.084956,0.048774,0.033595,0.018364,0.021998,0.802509,4.388547,10.602036,14.658820,12.972595,13.069554,33.578079,34.752953,47.368031,13.105849,30.936272,7.763453,2.955992,3.874713,6.668604,2.724529,2.147255,5.874876,27.256634,34.197823,7.829474,4.757211,7.889307,17.509426,26.780499,18.797482,3.091982,0.435411,0.287733,0.248433,2.713302,10.556371,3.534003,2.689183,2.412553,1.290774,0.953627,0.487545,1.102041,1.424926,1.151659,1.211327,17.045853,17.346554,2.306653,0.530423,0.416788,0.413108,0.321167,0.462114,1.382125,2.288774,1.955649,0.349208,0.199829,0.218947,0.565862,1.818728,2.867251,1.467548,0.237045,0.228021,0.309677,0.470508,0.502630,0.143153,0.097016,0.084430,0.084569,0.138062,0.094945,0.103724,0.085967,0.111715,0.135961,0.232474,0.730719,0.449622,0.221549,0.199978,0.090070,0.048712,0.027140,0.016122,0.017548,0.016431,0.016013,0.029550,0.204362,0.543830,0.291965,0.144974,0.098198,0.045084,0.042015,0.033957,0.043636,0.034135,0.029337,0.079123,0.051919,0.022231,0.018677,0.023610,0.029536,0.069094,0.042821,0.053194,0.041255,0.038210,0.040672,0.046537,0.031959,0.032335,0.041259,0.060937,0.075557,0.077802,0.093557,0.034753,0.021824,0.016166,0.008310,16.784622,18.446894,20.119551,16.825417,18.156549,17.668938,18.298847,0.032436,-0.036844,-0.032146,-0.021739,0.019649,-0.004881
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Nc.wav,neutral,1,-196.598495,102.991898,-0.264047,38.268074,-0.154542,2.958546,-12.663651,-13.384127,-10.355342,2.255903,-7.490413,1.626974,-6.725111,3.025350,-2.595201,-3.374235,1.739279,3.098904,-6.759356,6.730103,-5.152337,-2.539011,-2.881563,-3.887674,-2.001512,-0.897324,-1.552175,-1.004028,-1.541367,-2.168030,-1.645359,-2.420688,-2.502800,-3.199017,-2.187031,-3.741765,-2.143440,-2.468618,-1.887268,-2.429970,0.448114,0.659270,0.400963,0.243575,0.283969,0.354352,0.437622,0.450826,0.451667,0.365316,0.248750,0.301337,0.541058,0.121528,2.210743,20.409286,41.448643,67.569679,5.286110,7.688328,4.182234,14.604103,54.681778,92.334038,20.591845,6.872608,11.629009,36.546177,49.605133,91.595222,31.593935,10.225554,13.924031,35.207119,56.409023,19.362974,2.950950,5.142552,10.356057,15.727228,17.204439,2.991789,0.632661,0.655941,4.116258,5.237214,0.777697,0.183800,0.445539,0.729423,0.845161,0.424297,0.162915,0.302399,0.950732,1.381551,1.370003,0.347930,0.456816,0.907606,0.940713,1.085579,1.360205,2.490414,0.484205,0.423937,1.291185,0.908342,0.219015,0.394331,0.482449,0.241850,0.450637,0.881461,0.801637,0.686415,0.437244,0.300508,0.481118,0.659051,0.444261,0.453308,0.330791,0.238918,0.276668,0.162372,0.136974,0.140390,0.131392,0.157767,0.206885,0.228831,0.329414,0.297540,0.285351,0.175434,0.124865,0.069553,0.064721,0.069026,0.063014,0.067522,0.106828,0.140757,0.210966,0.321944,0.291522,0.167168,0.085420,0.067643,0.050221,0.024487,0.011497,0.011552,0.023752,0.039992,0.040807,0.067560,0.077486,0.068754,0.065750,0.042073,0.026692,0.025628,0.017609,0.025490,0.017388,0.021729,0.030053,0.027735,0.036009,0.038232,0.028329,0.023139,0.009046,0.005458,0.003271,0.003139,0.001697,0.001317,22.696127,15.452464,19.135366,15.675589,16.069769,19.277378,17.283054,-0.006326,-0.072876,-0.067610,-0.037773,0.017257,0.013429
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Ta.wav,sad,4,-199.811386,87.375824,15.468809,35.480377,-0.373122,12.811746,-7.053215,-4.298699,-6.262354,3.623864,1.889228,-3.205284,-1.102346,4.137261,-0.933493,1.041443,-2.503187,5.400957,-5.561474,6.553857,-3.068546,-2.155477,0.065391,-5.458144,-1.742954,0.007498,-5.513597,-1.247087,-3.272026,0.393510,-2.887378,-0.256546,0.757951,-1.229369,-2.373523,-0.323926,-2.219131,-1.226307,-0.720165,-2.720254,0.280205,0.340978,0.331330,0.327882,0.402245,0.411552,0.463510,0.522923,0.414889,0.486937,0.527089,0.360363,0.662233,0.816584,3.743486,59.148621,102.677834,7.634612,2.906760,12.260991,46.698078,45.398182,6.317634,4.227025,11.566914,38.476646,37.173702,9.610346,4.609440,12.054814,13.741220,8.356397,3.296735,9.477724,6.110269,2.584878,1.242298,2.991384,6.853131,2.252650,0.630295,0.738568,1.967326,1.011686,0.559240,0.281480,0.473828,0.419064,0.200496,0.202276,0.248024,0.240819,0.271991,0.212762,0.198943,0.317066,0.294538,0.362857,0.261405,0.364348,0.360531,0.264355,0.445544,0.217039,0.326919,0.211056,0.246298,0.183007,0.124439,0.130230,0.193619,0.180555,0.173492,0.273331,0.348367,0.369694,0.289058,0.137743,0.156395,0.125957,0.083765,0.068347,0.034905,0.028980,0.036969,0.044654,0.038195,0.031949,0.029707,0.040989,0.111437,0.163962,0.173234,0.157211,0.164379,0.086863,0.055270,0.054674,0.042747,0.034830,0.071164,0.056979,0.038525,0.052715,0.068371,0.073694,0.086713,0.152628,0.163686,0.152518,0.220868,0.194324,0.080004,0.168272,0.369873,0.578405,0.506543,0.421038,0.237914,0.202636,0.137147,0.076933,0.052667,0.056431,0.039045,0.071092,0.080685,0.096419,0.152708,0.225945,0.159939,0.127290,0.169843,0.140012,0.172257,0.147345,0.153588,0.082559,0.030043,0.021026,17.654076,13.559275,15.746263,15.513274,16.208570,17.448309,16.380512,0.015863,-0.015889,-0.037278,-0.075869,0.032375,0.029981
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Wb.wav,angry,5,-184.785233,35.521912,-14.001224,24.060364,-7.379048,0.255898,-10.986519,-11.186419,-24.671476,-3.138075,-9.097824,-6.057429,-7.672410,0.594625,-8.573989,-1.004847,-4.787677,-4.501965,-4.306899,1.442478,-5.901996,3.549300,-0.643732,-0.315580,1.936516,3.694728,-3.347401,4.456695,0.943781,3.912541,3.288303,5.465301,4.083700,7.782570,5.437660,4.327275,3.230336,4.754009,2.528432,1.852483,0.234645,0.372554,0.361357,0.380075,0.476453,0.478206,0.516714,0.444975,0.427353,0.287335,0.358896,0.321270,0.064453,0.022669,0.012855,0.026332,0.138034,1.117958,10.957186,19.060499,9.619186,6.081423,2.989939,2.857556,1.930069,3.865481,15.485598,15.223854,32.703548,9.073032,3.219698,2.259889,1.538468,3.872443,16.701069,12.199011,2.753139,2.509323,3.559640,2.718632,1.452291,1.878113,3.740537,2.258037,1.025759,1.549943,6.467606,3.315959,0.878602,2.335605,3.216290,3.969317,5.798778,2.252690,0.523367,0.818806,1.980058,13.391282,12.790800,1.776407,0.704098,0.998554,1.647125,2.664410,3.568890,2.089118,1.201674,0.909561,1.006547,1.654860,2.616888,0.717780,0.433493,1.283580,2.452992,0.689387,0.300442,0.240716,0.613050,0.452172,0.291732,0.214009,0.217260,0.203519,0.168280,0.227876,0.689331,0.781337,0.570934,0.863115,0.997941,0.617828,0.624174,1.364093,1.203094,1.399059,1.995701,1.460786,0.844561,0.892760,0.363171,0.274045,0.206948,0.143836,0.187704,0.144645,0.182253,0.298428,0.379277,0.431223,0.209096,0.167704,0.130306,0.168217,0.152385,0.200498,0.164961,0.121897,0.071239,0.070522,0.057247,0.082745,0.110597,0.107102,0.088571,0.087152,0.104146,0.100354,0.108953,0.087349,0.057026,0.038816,0.045510,0.059295,0.061213,0.039339,0.024380,0.021801,0.011769,0.004243,20.979784,15.907044,19.725983,15.823276,17.727953,18.392826,17.765574,0.003643,0.010049,-0.001249,-0.013055,0.011243,-0.007493
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Wc.wav,angry,5,-210.197769,49.073139,-38.691952,18.060984,-11.923142,-3.689491,-20.585903,-14.537716,-21.936127,-6.494236,-1.966012,-5.611004,-15.949568,1.321582,-10.376375,-10.080111,-5.207982,-5.311048,-1.815941,9.277292,5.752336,6.059090,5.121684,4.765773,2.023067,9.829281,1.497490,4.068776,2.045198,5.536216,3.296427,0.583130,-1.053789,3.187629,1.679017,2.175300,0.581224,0.909096,1.496657,3.949746,0.345985,0.291366,0.491580,0.630184,0.625452,0.351166,0.215483,0.331969,0.239683,0.197150,0.286746,0.418157,0.017943,0.003491,0.003252,0.009768,0.014379,0.074013,0.520168,0.967804,1.126554,1.710420,4.932828,4.080510,5.595808,4.719599,1.229887,0.472831,0.353645,0.602486,2.036908,4.878201,3.368737,3.135214,2.786632,5.728179,14.170375,15.209323,8.616622,8.894652,3.098434,0.369134,0.354994,1.710161,3.802927,2.643683,1.390611,1.366696,2.419222,3.306981,2.285145,5.874394,15.935632,12.781096,2.870623,0.781643,1.204977,2.185049,5.072189,5.192747,5.784037,12.113594,6.361533,4.449220,5.518192,13.251432,6.326748,0.855605,0.857310,0.736307,1.214459,3.108231,3.173602,3.867354,6.106297,3.182785,0.303428,0.243985,0.497447,0.917556,1.037314,1.464938,1.664489,0.985941,0.449995,0.338549,0.346554,0.363650,0.612505,0.889767,1.098108,1.051413,0.645168,0.621704,0.875238,0.693996,0.340259,0.278821,0.173625,0.115239,0.093104,0.097959,0.257945,0.657479,0.385766,0.174635,0.310332,0.636810,0.435551,0.224252,0.531539,0.594734,0.182041,0.105914,0.219080,0.154412,0.052678,0.072508,0.040440,0.029126,0.028134,0.020598,0.024881,0.033927,0.027048,0.025972,0.023117,0.020164,0.021593,0.015172,0.013419,0.009512,0.025002,0.029157,0.016607,0.014311,0.014654,0.009318,0.003857,0.001096,17.027924,15.911493,20.097054,17.573898,18.958227,20.212854,16.822470,0.017770,0.005351,0.044960,0.036732,-0.011950,0.015921
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a04Ad.wav,fear,6,-168.650574,46.448105,-9.759540,7.058010,-6.734884,0.441209,-16.944975,-4.795706,-17.652344,-1.167236,-11.703023,-7.892681,-6.752998,1.924634,-15.424705,-3.790599,-8.071471,-5.212634,-5.567118,-0.860411,-5.907372,0.467906,-0.507372,6.450123,8.622733,10.918427,9.236644,10.791755,5.375086,4.847876,2.458838,3.967326,2.672583,4.089286,2.598237,0.975328,-1.805098,-0.414152,-2.221898,1.844466,0.422144,0.289681,0.230945,0.164796,0.230259,0.301706,0.331199,0.332600,0.319599,0.449509,0.511542,0.499477,0.064633,0.041224,0.026185,0.022021,0.024399,0.073086,0.766412,3.720906,17.520514,50.351929,55.287033,24.133209,6.658976,1.014263,0.414562,0.384204,0.723995,1.835528,5.641169,11.336059,40.070744,36.431278,19.370134,15.404556,13.015995,3.454935,0.667432,2.653011,3.922592,5.667014,6.709152,8.503430,12.083255,4.240355,1.615240,1.270367,3.395282,3.315044,3.046272,2.523880,1.065332,0.862565,1.061133,1.442154,1.115538,0.957725,0.676176,0.784040,0.776332,0.615480,0.843697,0.815678,0.846394,2.047875,2.656217,2.268302,3.764641,4.282229,2.730901,2.777925,2.245581,1.623057,1.421128,1.446876,0.807560,0.919699,1.251163,0.789783,0.287909,0.168551,0.095342,0.143034,0.111059,0.122391,0.146426,0.225889,0.227989,0.174108,0.188400,0.319613,0.458890,0.375233,0.275153,0.215745,0.324008,0.370231,0.206745,0.108081,0.083019,0.048743,0.047993,0.049155,0.062142,0.068114,0.047872,0.062034,0.088355,0.125637,0.162530,0.127007,0.188949,0.143740,0.121059,0.120476,0.110922,0.087565,0.076580,0.096823,0.090200,0.133051,0.181694,0.152480,0.106076,0.105159,0.128873,0.111765,0.090324,0.096861,0.066454,0.066980,0.062041,0.070045,0.068167,0.042707,0.021304,0.013528,0.007789,0.002397,17.353725,18.444538,19.860283,16.268501,16.925179,15.793390,18.805004,0.037807,-0.003690,0.010449,-0.013649,-0.006501,0.004910
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a04Fd.wav,happy,3,-235.968567,70.511971,-15.781752,11.818306,-5.698055,-0.868627,-16.420259,-4.630095,-8.569771,0.765840,-6.195448,-4.899539,-7.396432,-0.491636,-7.313556,-2.397090,-3.504913,-1.213211,-4.463958,3.151534,-6.875477,1.723881,-3.240515,-0.317312,-1.703443,2.302941,5.650900,7.024018,6.609341,4.132946,2.317228,2.341448,1.714395,4.031137,1.019151,0.575884,-0.373235,1.726106,1.555882,0.751907,0.285584,0.264702,0.317569,0.340303,0.424886,0.516897,0.444621,0.398669,0.413239,0.373848,0.494318,0.382384,0.040619,0.014774,0.013569,0.082436,0.757635,0.912830,1.352815,1.846754,5.635558,9.985057,3.022101,2.483782,5.321219,3.538529,0.715433,1.194769,1.969738,8.992864,34.464699,21.496841,4.701004,2.464042,2.726643,12.125023,26.508438,18.125954,8.640884,8.790410,39.125870,13.963458,3.008675,3.498631,4.480733,5.875904,6.397808,6.512667,7.271435,12.058165,15.381486,6.677539,5.370626,5.027640,5.328389,4.355358,2.894059,2.094152,4.182095,8.806587,2.936616,1.556709,2.814466,6.439130,9.536678,7.991141,9.166368,9.682678,4.341328,4.295825,4.751018,3.753310,1.654043,1.936141,0.876929,0.400618,0.350869,0.401679,0.817484,0.669265,0.404377,0.856179,0.273991,0.289957,0.213443,0.086781,0.072029,0.199102,0.295174,0.129016,0.218516,0.313999,0.315263,0.292822,0.236220,0.181139,0.093378,0.050951,0.035272,0.047102,0.035489,0.154123,0.138537,0.062303,0.107515,0.093874,0.049058,0.071958,0.060578,0.061542,0.049148,0.035868,0.032297,0.028021,0.027131,0.018045,0.013993,0.014895,0.022005,0.025024,0.017475,0.018626,0.014436,0.011264,0.007763,0.005993,0.005877,0.008436,0.005140,0.010117,0.016012,0.011697,0.015426,0.022131,0.021893,0.019028,0.007079,0.004092,0.002301,0.000714,19.483932,16.002338,19.016323,15.824125,17.615847,17.922667,18.279669,-0.038239,0.038138,-0.045656,-0.071970,0.029464,0.008404
