dataset,path,emotion_name,emotion_code,smile_F0semitoneFrom27.5Hz_sma3nz_amean,smile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,smile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,smile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,smile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,smile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,smile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,smile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,smile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,smile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,smile_loudness_sma3_amean,smile_loudness_sma3_stddevNorm,smile_loudness_sma3_percentile20.0,smile_loudness_sma3_percentile50.0,smile_loudness_sma3_percentile80.0,smile_loudness_sma3_pctlrange0-2,smile_loudness_sma3_meanRisingSlope,smile_loudness_sma3_stddevRisingSlope,smile_loudness_sma3_meanFallingSlope,smile_loudness_sma3_stddevFallingSlope,smile_spectralFlux_sma3_amean,smile_spectralFlux_sma3_stddevNorm,smile_mfcc1_sma3_amean,smile_mfcc1_sma3_stddevNorm,smile_mfcc2_sma3_amean,smile_mfcc2_sma3_stddevNorm,smile_mfcc3_sma3_amean,smile_mfcc3_sma3_stddevNorm,smile_mfcc4_sma3_amean,smile_mfcc4_sma3_stddevNorm,smile_jitterLocal_sma3nz_amean,smile_jitterLocal_sma3nz_stddevNorm,smile_shimmerLocaldB_sma3nz_amean,smile_shimmerLocaldB_sma3nz_stddevNorm,smile_HNRdBACF_sma3nz_amean,smile_HNRdBACF_sma3nz_stddevNorm,smile_logRelF0-H1-H2_sma3nz_amean,smile_logRelF0-H1-H2_sma3nz_stddevNorm,smile_logRelF0-H1-A3_sma3nz_amean,smile_logRelF0-H1-A3_sma3nz_stddevNorm,smile_F1frequency_sma3nz_amean,smile_F1frequency_sma3nz_stddevNorm,smile_F1bandwidth_sma3nz_amean,smile_F1bandwidth_sma3nz_stddevNorm,smile_F1amplitudeLogRelF0_sma3nz_amean,smile_F1amplitudeLogRelF0_sma3nz_stddevNorm,smile_F2frequency_sma3nz_amean,smile_F2frequency_sma3nz_stddevNorm,smile_F2bandwidth_sma3nz_amean,smile_F2bandwidth_sma3nz_stddevNorm,smile_F2amplitudeLogRelF0_sma3nz_amean,smile_F2amplitudeLogRelF0_sma3nz_stddevNorm,smile_F3frequency_sma3nz_amean,smile_F3frequency_sma3nz_stddevNorm,smile_F3bandwidth_sma3nz_amean,smile_F3bandwidth_sma3nz_stddevNorm,smile_F3amplitudeLogRelF0_sma3nz_amean,smile_F3amplitudeLogRelF0_sma3nz_stddevNorm,smile_alphaRatioV_sma3nz_amean,smile_alphaRatioV_sma3nz_stddevNorm,smile_hammarbergIndexV_sma3nz_amean,smile_hammarbergIndexV_sma3nz_stddevNorm,smile_slopeV0-500_sma3nz_amean,smile_slopeV0-500_sma3nz_stddevNorm,smile_slopeV500-1500_sma3nz_amean,smile_slopeV500-1500_sma3nz_stddevNorm,smile_spectralFluxV_sma3nz_amean,smile_spectralFluxV_sma3nz_stddevNorm,smile_mfcc1V_sma3nz_amean,smile_mfcc1V_sma3nz_stddevNorm,smile_mfcc2V_sma3nz_amean,smile_mfcc2V_sma3nz_stddevNorm,smile_mfcc3V_sma3nz_amean,smile_mfcc3V_sma3nz_stddevNorm,smile_mfcc4V_sma3nz_amean,smile_mfcc4V_sma3nz_stddevNorm,smile_alphaRatioUV_sma3nz_amean,smile_hammarbergIndexUV_sma3nz_amean,smile_slopeUV0-500_sma3nz_amean,smile_slopeUV500-1500_sma3nz_amean,smile_spectralFluxUV_sma3nz_amean,smile_loudnessPeaksPerSec,smile_VoicedSegmentsPerSec,smile_MeanVoicedSegmentLengthSec,smile_StddevVoicedSegmentLengthSec,smile_MeanUnvoicedSegmentLength,smile_StddevUnvoicedSegmentLength,smile_equivalentSoundLevel_dBp
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a01Fa.wav,happy,3,31.188166,0.152560,27.766502,31.412098,36.340343,8.573841,34.608952,11.036856,91.834801,43.389225,0.696801,0.863078,0.214767,0.509405,1.128679,0.913911,12.420113,6.053562,15.862894,7.684804,0.446695,1.224715,14.895240,1.163175,5.973327,2.630625,12.618039,1.188913,0.768324,14.586197,0.043051,1.751978,1.391048,0.585824,5.309995,0.754232,7.979724,1.123519,21.855564,0.515307,557.552368,0.328213,1344.465820,0.187409,-104.058456,-0.861153,1636.735229,0.123986,945.971802,0.220095,-103.668907,-0.806378,2731.931396,0.089794,1012.463257,0.253772,-106.299393,-0.764018,-13.889284,-0.610495,23.213257,0.352280,0.019560,1.084309,-0.012932,-1.046593,0.662196,0.999185,23.883604,0.436979,8.593408,2.024981,13.053411,1.314847,-1.895495,-5.273770,-5.667033,16.151024,-0.012351,0.010897,0.218922,4.255319,3.278689,0.156667,0.084591,0.108571,0.036422,-21.647932
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a01Nc.wav,neutral,1,25.022938,0.148540,20.637066,25.118477,28.660353,8.023287,54.014923,38.583805,27.074680,0.593055,0.826346,0.886712,0.136330,0.730036,1.337338,1.201008,17.076231,8.859367,17.241621,11.386761,0.569888,0.986456,23.289206,0.798978,2.449340,5.345325,14.320968,0.952114,1.265253,7.879263,0.021001,0.594812,1.809721,1.023398,4.106911,0.733261,4.518947,1.003468,26.911007,0.372724,494.602356,0.341295,1328.761353,0.217845,-119.944939,-0.746574,1542.370605,0.155398,952.326355,0.311140,-121.742279,-0.693145,2612.093018,0.096303,882.731506,0.238808,-125.848198,-0.635558,-14.881987,-0.421169,24.631252,0.232506,0.011162,1.620742,-0.018034,-0.646653,0.768301,0.535423,35.604652,0.232879,1.047407,12.171297,20.078480,0.733666,0.667141,15.549351,-10.316612,21.662098,-0.020058,0.007849,0.450747,6.250000,3.870968,0.101667,0.055202,0.115714,0.049816,-18.010019
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a01Wa.wav,angry,5,34.292320,0.102067,30.504089,33.584766,37.343616,6.839527,35.548016,5.873569,5.734786,25.473356,1.163485,0.876148,0.201235,0.834350,2.105467,1.904232,23.472960,11.917253,23.406885,12.535822,0.738189,1.081888,10.548701,1.565570,-6.946343,-2.763684,9.013171,1.720972,-4.248322,-3.115621,0.026912,0.985169,1.545696,0.602142,4.126107,1.070745,10.201514,1.127944,12.935031,0.653909,761.061279,0.384590,1219.750854,0.239676,-103.661316,-0.899677,1759.897217,0.162017,1016.781616,0.405573,-99.108154,-0.912200,2785.892822,0.102843,927.314392,0.375062,-100.993927,-0.878161,-3.418939,-2.131876,15.228786,0.392539,0.046557,0.545551,0.001244,13.144305,1.088180,0.767591,17.817204,0.583965,-14.592329,-1.437360,10.808896,1.515895,-8.435194,-1.931594,-0.997987,12.385584,0.014669,0.012394,0.388366,4.838710,3.314917,0.150000,0.073030,0.111429,0.060339,-17.855310
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Fc.wav,happy,3,37.576572,0.108607,34.083504,37.371193,41.233379,7.149876,30.146019,14.919344,38.302853,20.924076,0.888674,0.862206,0.174887,0.672075,1.595694,1.420808,16.610758,7.888470,17.229336,3.991487,0.530060,1.135250,11.212610,1.142727,4.153588,3.137719,5.891966,3.133578,-2.384211,-7.303015,0.024990,1.164230,1.087931,0.842955,8.213586,0.521997,10.513595,0.921301,18.268597,0.571306,731.007812,0.355530,1371.627319,0.341635,-91.032494,-0.969192,1764.184937,0.146986,933.831482,0.249985,-82.753693,-0.975878,2833.232910,0.106725,1012.281738,0.373876,-85.474495,-0.923437,-12.840339,-0.708247,21.742136,0.421635,0.035307,0.822963,-0.003292,-4.468517,0.698536,0.920849,14.956714,0.815447,4.839254,3.159861,7.941090,2.669072,-3.891580,-5.311666,-5.103197,15.929288,-0.007576,0.015585,0.243682,4.522613,2.577320,0.246000,0.210960,0.100000,0.042032,-18.062223
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Nc.wav,neutral,1,25.040190,0.116655,21.225212,26.198669,27.725224,6.500011,19.461380,10.744596,27.572844,6.934962,0.899878,0.757321,0.206844,0.769023,1.618215,1.411371,16.610378,7.590389,21.038906,13.893456,0.681342,0.925533,22.604406,0.767249,8.121778,1.597548,20.325052,0.914505,3.586777,3.474055,0.020529,0.676157,1.575889,0.694994,4.435600,0.501182,-0.429098,-7.230314,25.385006,0.339504,488.128204,0.378170,1231.400269,0.144908,-89.648422,-1.001909,1547.784912,0.137270,810.946411,0.273317,-97.341255,-0.848892,2626.971436,0.090794,830.683838,0.167093,-100.845879,-0.793733,-15.571692,-0.455702,25.032671,0.287059,0.001049,26.870167,-0.011887,-1.176129,0.908455,0.644673,31.407829,0.445782,7.176942,2.050887,27.283777,0.763327,5.601760,2.211560,-13.272980,23.824095,-0.035085,0.005547,0.444158,6.338028,3.649635,0.148000,0.130138,0.086667,0.026247,-16.109831
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Ta.wav,sad,4,23.199289,0.063191,21.326691,23.556675,24.742411,3.415720,14.027371,8.320468,15.265557,7.346766,0.787536,0.670722,0.231846,0.749593,1.296938,1.065092,14.033878,8.596281,11.372944,5.534623,0.519741,0.817089,16.062305,1.234697,10.740700,0.859288,17.573963,1.113353,1.241073,9.801440,0.023973,0.701253,1.086718,0.679640,5.035095,0.314689,2.011291,0.905538,29.697939,0.220220,481.208038,0.346779,1233.680298,0.162995,-130.992920,-0.664185,1567.968018,0.136428,880.249878,0.250442,-136.845245,-0.575706,2622.748047,0.102623,885.246216,0.173818,-138.652725,-0.550658,-18.908331,-0.366516,27.575811,0.287951,-0.019526,-1.028284,-0.011688,-1.420490,0.729738,0.642083,31.231066,0.409312,15.344326,0.408826,28.792175,0.713757,6.890585,1.868754,-6.580761,15.852320,-0.020736,0.002862,0.427005,6.395349,2.994012,0.114000,0.064374,0.165000,0.126590,-18.053289
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Wb.wav,angry,5,34.944218,0.113250,31.575920,34.201447,39.749702,8.173782,48.505188,1.378322,38.760063,23.643646,1.021844,0.765384,0.263116,0.808538,1.786942,1.523826,19.593300,9.834291,17.814188,8.404669,0.564378,0.996094,7.414867,2.111600,3.369393,4.775764,12.921475,1.553982,0.484961,39.895264,0.024233,0.774293,1.112372,0.593119,4.809745,0.814813,13.033836,0.737097,13.991405,0.719278,815.359314,0.384729,1093.735718,0.262528,-116.419334,-0.743453,1895.723145,0.152732,854.134399,0.395326,-103.267479,-0.822258,2878.208984,0.099289,1002.512268,0.255907,-102.580414,-0.834805,-5.707179,-1.335284,14.194494,0.619103,0.039904,0.617859,0.003187,5.217113,0.784774,0.752154,11.131234,1.282100,0.673334,26.067131,18.257069,1.221610,-3.952305,-5.453755,-5.026937,15.705659,-0.001637,0.017282,0.344563,5.687204,4.368932,0.111111,0.060817,0.120000,0.026726,-19.624868
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a02Wc.wav,angry,5,38.265862,0.100074,34.468639,39.165157,41.601871,7.133232,29.926310,19.864258,39.025845,8.647647,0.965106,0.894592,0.212507,0.713574,1.550522,1.338015,21.195793,9.423182,26.300608,16.556723,0.605058,1.239257,10.455194,1.285213,-8.667300,-2.060996,8.155322,1.822261,-5.791186,-3.677367,0.030304,0.932507,1.260167,0.694959,4.840545,0.604507,11.213082,0.974853,11.638246,0.605497,841.242432,0.334669,1118.475830,0.301392,-98.666664,-0.917686,1875.594116,0.124555,881.187317,0.361878,-84.050896,-1.022838,2843.264648,0.084647,905.631531,0.438966,-85.498848,-0.998211,-1.943787,-2.650429,10.525596,0.667555,0.050623,0.574938,0.006800,3.126824,0.764626,1.032962,10.704262,1.178103,-16.267115,-1.031059,10.335819,1.581913,-11.356243,-1.980092,-6.030575,16.919962,0.018910,0.015370,0.424893,5.405406,4.195804,0.135000,0.088647,0.070000,0.031623,-19.908726
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a04Ad.wav,fear,6,37.341011,0.052692,36.079865,37.437687,39.032368,2.952503,181.882111,153.923157,21.611534,5.935969,1.066605,0.719362,0.469774,0.804470,1.846429,1.376656,20.261074,10.366138,22.955694,16.962383,0.646012,1.056774,9.482896,1.702905,2.249383,6.075182,3.697749,4.421957,-3.312710,-3.401230,0.022487,0.744672,1.368225,0.460057,6.994483,0.445810,10.257101,0.901221,18.776596,0.392850,676.450256,0.374230,1275.701172,0.217556,-104.377144,-0.816301,1719.645020,0.189037,977.149841,0.214274,-95.256866,-0.830540,2749.078613,0.124973,1033.034424,0.311282,-97.820595,-0.782842,-7.373772,-1.221587,18.539410,0.605551,0.043860,0.452795,-0.003545,-3.599601,0.749078,0.743476,13.842939,1.047635,0.745290,15.677276,1.816442,8.537764,-6.984250,-1.328537,-2.956374,13.420055,0.009788,0.008622,0.561649,4.026845,5.555556,0.096250,0.050234,0.055556,0.026713,-18.527002
emodb,S:\Documents\.Code\GitHub\University\Sentiment_PressConference\data_training\raw_data\EmoDB\wav\03a04Fd.wav,happy,3,33.902012,0.147868,27.758804,35.827007,37.241196,9.482391,114.315750,85.758080,42.617229,44.621044,0.808189,1.074365,0.154106,0.412677,1.506910,1.352804,20.195282,14.923435,20.271952,12.102972,0.578328,1.435345,15.053026,1.100750,0.208001,80.519264,6.775636,2.870784,-2.872627,-5.032310,0.024713,0.979192,1.694754,0.664790,5.479388,0.710390,8.958169,1.030702,21.474596,0.495927,651.219910,0.374008,1267.548950,0.157972,-111.493195,-0.762639,1704.270508,0.165797,976.922241,0.224014,-99.195740,-0.850506,2777.426025,0.123372,1019.776550,0.350151,-102.796524,-0.785174,-9.941733,-1.073888,21.416958,0.509734,0.038602,0.805181,-0.006640,-1.830736,0.915236,1.078960,23.567314,0.524384,-4.465512,-4.182534,4.625829,4.900723,-10.934714,-1.240525,-7.049768,16.344158,-0.005348,0.011249,0.205621,3.571429,4.907976,0.102500,0.069237,0.071111,0.027666,-18.382814
