Press conference date,Speaker,Positive responses,Neutral responses,Negative responses,Tone
27-Apr-11,Bernanke,17,0,1,0.89
22-Jun-11,Bernanke,19,0,0,1
02-Nov-11,Bernanke,19,0,0,1
25-Jan-12,Bernanke,18,0,0,1
25-Apr-12,Bernanke,19,0,0,1
20-Jun-12,Bernanke,22,0,1,0.91
13-Sep-12,Bernanke,23,0,0,1
12-Dec-12,Bernanke,20,0,3,0.74
20-Mar-13,Bernanke,14,0,7,0.33
19-Jun-13,Bernanke,10,0,11,-0.05
18-Sep-13,Bernanke,1,0,17,-0.89
18-Dec-13,Bernanke,18,0,3,0.71
19-Mar-14,Yellen,7,5,4,0.19
18-Jun-14,Yellen,2,0,14,-0.75
17-Sep-14,Yellen,2,1,9,-0.58
17-Dec-14,Yellen,1,4,10,-0.6
18-Mar-15,Yellen,15,0,5,0.5
17-Jun-15,Yellen,1,3,13,-0.71
17-Sep-15,Yellen,16,1,1,0.83
16-Dec-15,Yellen,4,1,13,-0.5
16-Mar-16,Yellen,12,1,3,0.56
15-Jun-16,Yellen,11,0,4,0.47
21-Sep-16,Yellen,5,0,14,-0.47
14-Dec-16,Yellen,12,5,3,0.45
15-Mar-17,Yellen,9,1,8,0.06
14-Jun-17,Yellen,7,0,9,-0.13
20-Sep-17,Yellen,4,1,9,-0.36
13-Dec-17,Yellen,1,5,12,-0.61
21-Mar-18,Powell,0,0,20,-1
13-Jun-18,Powell,0,0,22,-1
26-Sep-18,Powell,9,0,15,-0.25
19-Dec-18,Powell,0,0,21,-1
30-Jan-19,Powell,16,2,7,0.36
20-Mar-19,Powell,25,0,1,0.92
01-May-19,Powell,18,0,5,0.57
19-Jun-19,Powell,0,0,20,-1
31-Jul-19,Powell,0,0,24,-1
